"date","cases"
"1918-09-29","10"
"1918-09-30","4"
"1918-10-01","4"
"1918-10-02","19"
"1918-10-03","6"
"1918-10-04","13"
"1918-10-05","28"
"1918-10-06","23"
"1918-10-07","35"
"1918-10-08","27"
"1918-10-09","42"
"1918-10-10","51"
"1918-10-11","43"
"1918-10-12","78"
"1918-10-13","86"
"1918-10-14","80"
"1918-10-15","109"
"1918-10-16","126"
"1918-10-17","126"
"1918-10-18","159"
"1918-10-19","190"
"1918-10-20","209"
"1918-10-21","161"
"1918-10-22","199"
"1918-10-23","227"
"1918-10-24","246"
"1918-10-25","269"
"1918-10-26","243"
"1918-10-27","259"
"1918-10-28","264"
"1918-10-29","243"
"1918-10-30","289"
"1918-10-31","247"
"1918-11-01","289"
"1918-11-02","263"
"1918-11-03","230"
"1918-11-04","235"
"1918-11-05","227"
"1918-11-06","208"
"1918-11-07","184"
"1918-11-08","179"
"1918-11-09","139"
"1918-11-10","157"
"1918-11-11","141"
"1918-11-12","128"
"1918-11-13","142"
"1918-11-14","129"
"1918-11-15","99"
"1918-11-16","109"
"1918-11-17","79"
"1918-11-18","86"
"1918-11-19","73"
"1918-11-20","86"
"1918-11-21","71"
"1918-11-22","80"
"1918-11-23","71"
"1918-11-24","58"
"1918-11-25","56"
"1918-11-26","42"
"1918-11-27","61"
"1918-11-28","48"
"1918-11-29","47"
"1918-11-30","47"
"1918-12-01","40"
"1918-12-02","36"
"1918-12-03","47"
"1918-12-04","31"
"1918-12-05","39"
"1918-12-06","23"
"1918-12-07","29"
"1918-12-08","27"
"1918-12-09","28"
"1918-12-10","20"
"1918-12-11","30"
"1918-12-12","21"
"1918-12-13","24"
"1918-12-14","28"
"1918-12-15","16"
"1918-12-16","13"
"1918-12-17","15"
"1918-12-18","21"
"1918-12-19","16"
"1918-12-20","17"
"1918-12-21","16"
"1918-12-22","13"
"1918-12-23","32"
"1918-12-24","5"
"1918-12-25","9"
"1918-12-26","14"
"1918-12-27","25"
"1918-12-28","17"
"1918-12-29","15"
"1918-12-30","14"
"1918-12-31","12"
"1919-01-01","13"
"1919-01-02","23"
"1919-01-03","13"
"1919-01-04","21"
"1919-01-05","12"
"1919-01-06","11"
"1919-01-07","12"
"1919-01-08","7"
"1919-01-09","11"
"1919-01-10","15"
"1919-01-11","12"
"1919-01-12","3"
"1919-01-13","22"
"1919-01-14","8"
"1919-01-15","10"
"1919-01-16","10"
"1919-01-17","6"
"1919-01-18","7"
"1919-01-19","15"
"1919-01-20","15"
"1919-01-21","1"
"1919-01-22","20"
"1919-01-23","2"
"1919-01-24","2"
"1919-01-25","2"
"1919-01-26","17"
"1919-01-27","16"
"1919-01-28","15"
"1919-01-29","11"
"1919-01-30","3"
"1919-01-31","1"
"1919-02-01","3"
